,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,Label
2508,0.0,74,-1.0,0,-1.0,0.0,0.0,74.0,74.0,74,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,-10.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,0
6298,0.024985,327,13087.85271,126,5043.025815,265.25,16.28649747,75.5,66.0,66,1.749915846,0.583305282,0.215715198,8.56406e-05,0.009254223,0.004293667,0.000222,0.0,1.319937911,0.463968351,2.155319426,0.00015193,0.012326,0.012344,1.8e-05,1.0,0.998541802,0
17584,90.639342,476,5.251582696,476,5.251582696,0.0,0.0,68.0,68.0,68,-10.0,-10.0,0.0,912.5075504,30.20773991,45.32029064,45.3199275,0.0,3.61e-05,1.500287369,0.666538971,2.92e-08,0.000170743,0.015429857,0.015325,0.614121663,0.011065771,1
12939,33.275335,1807,54.30448709,4896,147.1360093,141502.7789,376.1685512,223.4333333,76.0,68,1.175802705,0.413201297,1.683582953,178.2555595,13.35123813,8.132066267,0.096342,0.0,1.805613275,0.609087052,1.641801443,0.000192825,0.013886142,0.015280444,2.1e-05,1.098897349,0.908752483,1
8375,0.01784,171,9585.201794,105,5885.650224,338.0,18.38477631,92.0,105.0,105,-2.121320344,-0.707106781,0.199834525,7.06267e-05,0.00840397,0.011885,0.017815,0.0,-2.116856603,1.414212519,0.707107303,0.0,0.0,0.017815,0.017815,-10.0,0.0,0
15566,34.072535,1739,51.03817488,4760,139.7019623,322210.6529,567.6360215,240.7037037,76.0,68,0.870471733,0.304250782,2.35823551,199.3622934,14.11957129,9.323399926,0.073379,0.0,1.965361569,0.660317494,1.514423,4.24e-05,0.006509346,0.011775,5.7e-05,1.800180961,0.552810666,1
3288,34.060875,1875,55.04849773,4963,145.7097036,123397.2148,351.2793971,213.6875,76.0,68,1.175880235,0.414733973,1.643893055,179.3347246,13.39159156,7.861679625,0.067488,0.0,1.746063921,0.587060887,1.703400825,6.21e-05,0.007878295,0.0097574,2.9e-05,1.234835748,0.807417422,1
19746,75.519905,372,4.925853654,280,3.707631783,8.925619835,2.987577586,59.27272727,62.0,62,-2.738612788,-0.912870929,0.050403916,584.4103712,24.1745811,41.18584773,45.296927,0.0,-0.510173797,1.703684029,0.5869633,6.03e-10,2.46e-05,15.0889528,15.088922,1.254314565,1.63e-06,1
18843,90.166855,44330,491.6440748,51045,566.117117,10502.26777,102.4805726,141.5059347,89.0,60,1.53705039,0.795330594,0.724213955,717.6004857,26.78806611,34.26460821,25.7791845,6.429187,0.950284019,1.039097824,0.781799866,8.39349e-05,0.009161597,0.012201102,0.015108,-0.317291646,0.750882797,0
7719,16.443877,52200,3174.433864,85353,5190.564245,29460.99322,171.6420497,170.6612903,123.0,66,0.83303521,0.60976486,1.005746818,25.97047754,5.096123776,7.729741965,9.2680135,0.0,-0.905553869,1.516788505,0.659287697,0.008788112,0.093744932,0.034285182,0.001137,0.353599723,2.734269636,0
14264,0.243821,4122,16905.84486,5354,21958.73202,14094.78438,118.7214571,145.7846154,105.0,66,1.030595893,0.672031976,0.814362042,0.003869532,0.062205562,0.138383508,0.159456,0.0,-1.016267278,2.224616317,0.449515718,0.000123809,0.011126951,0.014311,3e-05,1.283460344,0.777510357,0
3923,0.103872,1032,9935.304991,3635,34994.99384,270099.9648,519.7114246,291.6875,72.0,68,1.268131638,0.430407125,1.781740474,0.000982779,0.031349307,0.066152625,0.0691775,0.0,-0.289468124,2.110178242,0.473893617,0.000149612,0.012231606,0.0149786,7e-06,1.224009378,0.816605399,1
12523,0.024907,171,6865.539808,105,4215.682338,338.0,18.38477631,92.0,105.0,105,-2.121320344,-0.707106781,0.199834525,0.000137752,0.011736797,0.016598333,0.024888,0.0,-2.11889162,1.414213254,0.707106936,0.0,0.0,0.024888,0.024888,-10.0,0.0,0
