,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,Label
19100,0.27077,4581,16918.41785,6221,22975.21882,15929.83929,126.2134671,144.0266667,105.0,66,0.927634766,0.618211895,0.876320129,0.004867681,0.069768769,0.137151973,0.129637,0.0,0.323137707,1.965807561,0.508696792,6.99338e-05,0.008362645,0.0110942,3e-06,1.326278891,0.753785343,0
19708,1.325954,5596,4220.357569,7065,5328.23914,16544.14875,128.6240598,137.6195652,85.0,54,1.22728746,0.650108272,0.934634981,0.214434481,0.463070708,0.5672645,0.6086065,0.0,-0.267833827,1.225006225,0.816322383,2.61981e-05,0.005118411,0.013536375,1e-05,2.642690094,0.378122752,0
9744,30.219008,168,5.55941479,186,6.155066374,9.0,3.0,59.0,59.0,56,0.0,1.0,0.050847458,152.0469787,12.3307331,15.108907,15.1076985,0.0,0.000294021,1.225304845,0.816123436,1.85e-08,0.000136045,0.015105333,0.014995,0.811006596,0.009006417,1
16765,120.881536,118125,977.1963851,35361,292.5260645,78727.34137,280.5839293,216.4823695,87.0,62,1.384423939,0.550574546,1.29610522,1140.966396,33.77819409,64.59133481,67.010048,0.0,-0.214817274,1.912219897,0.522952408,0.233985165,0.483720131,0.420650785,3.8e-05,0.869537482,1.149932791,1
812,177.001175,618,3.491502246,381,2.152528084,351.9669421,18.76078202,90.81818182,105.0,105,-2.267786838,-0.755928946,0.206575177,3451.230571,58.74717501,64.38493055,59.025819,0.0,0.273669919,1.095966411,0.912436723,2.84645e-06,0.001687143,0.026568333,0.025342,0.726869901,0.063502019,0
8846,116.606969,130064,1115.405032,128823,1104.762443,7866.787841,88.6949144,138.442246,123.0,66,0.522315606,0.816757606,0.640663648,1200.165792,34.64340906,51.77425137,36.6221595,0.0,1.312119011,1.494490663,0.669124288,0.008355232,0.091406957,0.024943468,0.015496,0.103356113,3.664564922,0
5218,33.775497,1875,55.51361687,4964,146.9704502,123395.4521,351.2768882,213.71875,76.0,68,1.176155517,0.414825896,1.643640945,176.5673174,13.28786354,7.7869115,0.0717545,0.0,1.741850444,0.586016817,1.706435669,5.74e-05,0.007574821,0.0095524,1e-05,1.259752582,0.792975666,1
3257,9.368627,4095,437.0971328,6253,667.4403837,76738.00246,277.0162495,181.5438596,114.0,54,0.731479035,0.460420137,1.525891594,7.776985162,2.788724648,2.40081893,1.392489,0.0,1.084721574,0.860902109,1.161572251,0.000160114,0.012653614,0.016434077,8.3e-05,1.292206042,0.769961977,0
8628,101.62325,112074,1102.838179,208863,2055.267864,19420.00757,139.3556873,137.5640806,89.0,60,1.045470369,0.556590708,1.013023797,680.5508722,26.08736997,73.84270588,84.200606,14.068707,-1.191139636,2.291300309,0.353282964,0.000148905,0.012202657,0.011925579,0.000121,0.967377792,1.023233891,0
9248,5.262057,11277,2143.078268,19284,3664.726551,48192.36698,219.5275996,152.805,85.0,54,0.926603308,0.450080082,1.436651939,0.794932055,0.891589622,0.84818389,0.712711,0.0,0.455836026,0.951316468,1.051174908,4.68924e-05,0.006847801,0.010504257,0.01509,-0.669666444,0.651907257,0
2474,58.792332,526,8.94674496,364,6.191283584,274.3055556,16.56217243,74.16666667,68.0,68,1.117003224,0.372334408,0.22331019,404.1309357,20.10300813,39.59498658,45.3060775,0.0,-0.85227408,1.969605063,0.507715998,42.61803438,6.528248952,11.30741975,0.000189,1.7320465,0.577342055,1
9173,0.445229,4437,9965.658122,5393,12112.86776,14106.74144,118.7718041,142.4637681,105.0,66,0.94627934,0.643787208,0.833698319,0.015372017,0.123983937,0.199999391,0.190961,0.0,0.218699087,1.613107273,0.619921574,0.000128752,0.011346891,0.016520857,8e-06,1.45527591,0.686822173,0
20500,120.009597,188659,1572.03261,366513,3054.030754,6411.71883,80.07320919,123.1253049,107.0,68,0.604146072,0.688436314,0.650339175,802.8419938,28.33446654,75.94136666,78.732794,71.677245,-0.295551074,0.150492393,0.373109779,0.000108797,0.010430571,0.012358274,0.015289,-0.280974642,0.844015203,1
22751,120.682024,45346,375.7477584,32599,270.1230798,5865.960311,76.58955746,114.4566814,87.0,56,1.07547356,0.763246104,0.669157594,1175.610107,34.28717117,61.84517706,61.994885,0.0,-0.013098888,1.803741019,0.554403315,0.198972061,0.446062844,0.28868086,2e-06,0.647170829,1.545176371,1
14009,120.574454,230938,1915.314499,50606,419.707478,278376.8063,527.614259,402.2057143,180.0,68,1.26345551,0.633428132,1.311801996,992.4169495,31.50264988,66.87239296,68.2968645,0.0,-0.135652545,2.122754537,0.471086027,0.127848102,0.357558529,0.176480114,5e-06,0.493555878,2.026055637,1
15441,177.001474,279,1.57625806,534,3.016924029,319.41,17.87204521,81.3,93.0,93,-1.963961012,-0.654653671,0.219828354,3341.598081,57.80655742,70.8097763,59.0157455,0.0,0.612077487,1.224943665,0.816364073,1.56e-12,1.24722e-06,3.06667e-05,2.9e-05,1.33630621,0.040670189,0
8187,30.084921,1647,54.74503323,1351,44.9062173,15919.35728,126.1719354,130.3478261,66.0,60,1.530003306,0.557555259,0.96796348,153.4512837,12.38754551,6.568657565,0.051141,30.069137,1.578403864,-1.897105396,1.885856491,0.000274787,0.01657671,0.0197345,0.00011,1.183859792,0.839986299,0
20800,34.086418,1807,53.01231711,4896,143.6349223,269892.1122,519.5114168,223.4333333,76.0,68,0.851376862,0.299191372,2.32512942,187.5076096,13.6933418,8.403236733,0.0654135,0.0,1.826688479,0.613673189,1.629531838,0.000257658,0.016051738,0.014788333,4.8e-05,0.918301404,1.08543251,1
6931,19.130104,1579,82.54006356,4550,237.8450216,176382.7713,419.9794891,266.4782609,99.0,68,1.196331715,0.472590367,1.576036588,29.01508151,5.386564908,2.053961435,0.054096,0.0,1.113807483,0.381311925,2.622524852,4.85e-05,0.006965194,0.011079143,5.9e-05,1.582173236,0.628676213,1
